name,model,formula,time_s,memory_MB,total_reported,construction,checking
rc3_1,robot_grid/robot_grid_N3.prism,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.props,1.3381114695221186,-226.90234375,0.564,0.368,0.196
rc3_2,robot_grid/robot_grid_N3.prism,robot_grid/can_r1_get_past_r2_when_helped_TRUE.props,1.6287132874131205,-22.26171875,0.936,0.379,0.557
rc3_3,robot_grid/robot_grid_N3.prism,robot_grid/exist_path_to_targets_wtih_no_crashes_TRUE.props,1.3227171078324318,0.0,0.553,0.363,0.19
rc4_1,robot_grid/robot_grid_N4.prism,robot_grid/can_r1_and_r2_swap_with_help_from_r3_FALSE.props,3.278927184641361,-496.87890625,2.609,1.702,0.907
rc4_2,robot_grid/robot_grid_N4.prism,robot_grid/can_r1_get_past_r2_when_helped_TRUE.props,7.177544360980392,-944.7734375,6.406,1.781,4.625
rc4_3,robot_grid/robot_grid_N4.prism,robot_grid/exist_path_to_targets_wtih_no_crashes_TRUE.props,3.594802517443896,0.0,2.872,1.763,1.109
rps1,rock_paper_scissors/rock_paper_scissors.prism,rock_paper_scissors/p1_never_lose_FALSE.props,1.2985084243118763,0.0,0.005,0.025,0.02
mp3,matching_pennies/matching_pennies.prism,matching_pennies/can_they_win_simultaneously_FALSE.props,1.30021976493299,0.0,0.104,0.063,0.041
mp2,matching_pennies/matching_pennies.prism,matching_pennies/can_they_guarantee_that_odd_always_has_larger_sum_TRUE.props,1.3138922918587923,0.0,0.11,0.065,0.045
mp1,matching_pennies/matching_pennies.prism,matching_pennies/can_odd_win_round_eventually_FALSE.props,1.3134228084236383,0.0,0.484,0.065,0.419
mexican_standoff_3p_3hp_lcgs_suicide_threads,mexican_standoff/mexican_standoff_3p_3hp.prism,mexican_standoff/can_p1_suicide_FALSE.props,1.3038497511297464,0.0,0.145,0.103,0.042
mexican_standoff_3p_3hp_lcgs_survive_threads,mexican_standoff/mexican_standoff_3p_3hp.prism,mexican_standoff/can_p1_guarantee_to_survive_FALSE.props,1.3168892301619053,0.0,0.164,0.102,0.062
gg4_circular5,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props,1.373015133664012,0.0,0.729,0.701,0.028
gg4_circular6,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1_guarantee_omniscience_before_10_steps_FALSE.props,1.3992793280631304,0.0,0.746,0.645,0.101
rps2,rock_paper_scissors/rock_paper_scissors.prism,rock_paper_scissors/p1_can_win_eventually_FALSE.props,1.298307919874787,0.0,0.043,0.024,0.019
gg4_circular3,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.props,1.424710439518094,0.0,0.775,0.64,0.135
gg4_circular2,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_ensure_p1_gets_omniscient_before_10_steps_TRUE.props,1.5213946979492905,0.0,0.859,0.647,0.212
gg4_circular1,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_ensure_that_p1234_omniscient_before_10_steps_TRUE.props,1.5309127531945703,0.0,0.873,0.643,0.23
gg4_circular7,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p234_eventually_omniscient_without_p1_TRUE.props,1.9216383881866927,0.0,1.272,0.658,0.614
gg4_circular4,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_eventually_omniscient_TRUE.props,1.7414144445210695,0.0,1.093,0.646,0.447
gg5_circular5,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props,4.441199103370309,0.0,3.705,3.606,0.099
